>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
 9m | S 6 | 380.0 | 395.5 | +15.5 |  3.75 |  3.1 |  31.4% |  ON | ramp  | +4.4% |   6.6m
 9m | S 6 | 380.6 | 395.9 | +15.3 |  3.45 |  3.2 |  32.0% |  ON | ramp  | +4.4% |   6.7m
10m | S 6 | 381.2 | 396.3 | +15.1 |  3.60 |  3.2 |  31.7% |  ON | ramp  | +4.4% |   6.9m
10m | S 6 | 381.8 | 396.8 | +15.0 |  3.66 |  3.2 |  31.6% |  ON | ramp  | +4.4% |   7.1m
10m | S 6 | 382.3 | 397.2 | +14.9 |  3.37 |  3.2 |  32.2% |  ON | ramp  | +4.4% |   7.2m
10m | S 6 | 383.0 | 397.6 | +14.6 |  3.51 |  3.2 |  31.9% |  ON | ramp  | +4.4% |   7.4m
10m | S 6 | 383.6 | 398.0 | +14.4 |  3.51 |  3.2 |  31.9% |  ON | ramp  | +4.4% |   7.6m
10m | S 6 | 384.2 | 398.4 | +14.2 |  3.60 |  3.2 |  31.7% |  ON | ramp  | +4.4% |   7.7m
11m | S 6 | 384.8 | 398.8 | +14.1 |  3.75 |  3.1 |  31.4% |  ON | ramp  | +4.4% |   7.9m
11m | S 6 | 385.3 | 399.3 | +14.0 |  3.45 |  3.2 |  32.0% |  ON | ramp  | +4.4% |   8.1m
11m | S 6 | 385.9 | 399.7 | +13.8 |  3.45 |  3.2 |  32.0% |  ON | ramp  | +4.4% |   8.2m
11m | S 6 | 386.6 | 400.1 | +13.5 |  3.60 |  3.2 |  31.7% |  ON | ramp  | +4.4% |   8.4m
11m | S 6 | 387.0 | 400.5 | +13.5 |  3.30 |  3.2 |  32.3% |  ON | ramp  | +4.4% |   8.6m
11m | S 6 | 387.5 | 400.9 | +13.4 |  3.30 |  3.2 |  32.3% |  ON | ramp  | +4.4% |   8.7m
12m | S 6 | 388.1 | 401.4 | +13.2 |  3.30 |  3.2 |  32.3% |  ON | ramp  | +4.4% |   8.9m
12m | S 6 | 388.7 | 401.8 | +13.1 |  3.15 |  3.3 |  32.6% |  ON | ramp  | +4.4% |   9.1m
12m | S 6 | 389.3 | 402.2 | +12.9 |  3.45 |  3.2 |  32.0% |  ON | ramp  | +4.4% |   9.2m
12m | S 6 | 389.8 | 402.6 | +12.8 |  3.45 |  3.2 |  32.0% |  ON | ramp  | +4.4% |   9.4m
12m | S 6 | 390.4 | 403.0 | +12.6 |  3.45 |  3.2 |  32.0% |  ON | ramp  | +4.4% |   9.6m
12m | S 6 | 390.8 | 403.4 | +12.6 |  3.15 |  3.3 |  32.6% |  ON | ramp  | +4.4% |   9.7m
13m | S 6 | 391.3 | 403.8 | +12.6 |  3.00 |  3.3 |  32.9% |  ON | ramp  | +4.4% |   9.9m
13m | S 6 | 391.9 | 404.3 | +12.4 |  3.15 |  3.3 |  32.6% |  ON | ramp  | +4.4% |  10.1m
13m | S 6 | 392.4 | 404.7 | +12.3 |  3.00 |  3.3 |  32.9% |  ON | ramp  | +4.4% |  10.2m
13m | S 6 | 393.0 | 405.1 | +12.1 |  3.22 |  3.3 |  32.5% |  ON | ramp  | +4.4% |  10.4m
13m | S 6 | 393.5 | 405.6 | +12.1 |  3.22 |  3.3 |  32.5% |  ON | ramp  | +4.4% |  10.6m
14m | S 6 | 394.1 | 406.0 | +11.9 |  3.22 |  3.3 |  32.5% |  ON | ramp  | +4.4% |  10.8m
14m | S 6 | 394.6 | 406.4 | +11.8 |  3.22 |  3.3 |  32.5% |  ON | ramp  | +4.4% |  10.9m
