>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
29m | S 6 | 435.7 | 445.0 | +9.3 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  26.4m
29m | S 6 | 436.2 | 445.4 | +9.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  26.5m
29m | S 6 | 436.6 | 445.8 | +9.2 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  26.7m
30m | S 6 | 437.1 | 446.3 | +9.2 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  26.9m
30m | S 6 | 437.4 | 446.7 | +9.3 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  27.0m
30m | S 6 | 437.8 | 447.1 | +9.3 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  27.2m
30m | S 6 | 438.2 | 447.5 | +9.3 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  27.4m
30m | S 6 | 438.6 | 447.9 | +9.3 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  27.5m
30m | S 6 | 439.0 | 448.4 | +9.4 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  27.7m
31m | S 6 | 439.5 | 448.8 | +9.3 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  27.9m
31m | S 6 | 439.9 | 449.3 | +9.4 |  2.43 |  3.4 |  34.0% |  ON | ramp  | +4.4% |  28.1m
31m | S 6 | 440.3 | 449.7 | +9.4 |  2.43 |  3.4 |  34.0% |  ON | ramp  | +4.4% |  28.2m
31m | S 6 | 440.6 | 450.1 | +9.5 |  2.29 |  3.4 |  34.3% |  ON | ramp  | +4.4% |  28.4m
31m | S 6 | 441.1 | 450.5 | +9.4 |  2.29 |  3.4 |  34.3% |  ON | ramp  | +4.4% |  28.6m
31m | S 6 | 441.5 | 450.9 | +9.4 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  28.7m
32m | S 6 | 441.8 | 451.4 | +9.6 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  28.9m
32m | S 6 | 442.3 | 451.8 | +9.5 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  29.1m
32m | S 6 | 442.6 | 452.2 | +9.6 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  29.2m
32m | S 6 | 443.1 | 452.6 | +9.5 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  29.4m
32m | S 6 | 443.5 | 453.0 | +9.5 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  29.6m
33m | S 6 | 443.9 | 453.4 | +9.5 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  29.7m
33m | S 6 | 444.3 | 453.9 | +9.6 |  2.49 |  3.4 |  33.9% |  ON | ramp  | +4.4% |  29.9m
33m | S 6 | 444.6 | 454.3 | +9.7 |  2.20 |  3.5 |  34.5% |  ON | ramp  | +4.4% |  30.1m
33m | S 6 | 445.0 | 454.7 | +9.7 |  2.20 |  3.5 |  34.5% |  ON | ramp  | +4.4% |  30.2m
33m | S 6 | 445.5 | 455.1 | +9.6 |  2.34 |  3.4 |  34.2% |  ON | ramp  | +4.4% |  30.4m
33m | S 6 | 445.8 | 455.6 | +9.8 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  30.6m
34m | S 6 | 446.1 | 456.0 | +9.9 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  30.8m
34m | S 6 | 446.6 | 456.4 | +9.8 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  30.9m
34m | S 6 | 447.0 | 456.8 | +9.8 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  31.1m
34m | S 6 | 447.3 | 457.2 | +9.9 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  31.2m
34m | S 6 | 447.7 | 457.6 | +9.9 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  31.4m
34m | S 6 | 448.0 | 458.1 | +10.1 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  31.6m
35m | S 6 | 448.5 | 458.5 | +10.0 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  31.8m
35m | S 6 | 448.9 | 458.9 | +10.0 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  31.9m
35m | S 6 | 449.3 | 459.3 | +10.0 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  32.1m
35m | S 6 | 449.7 | 459.7 | +10.0 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  32.2m
35m | S 6 | 450.0 | 460.1 | +10.1 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  32.4m
35m | S 6 | 450.4 | 460.6 | +10.2 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  32.6m
36m | S 6 | 450.8 | 461.0 | +10.2 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  32.8m
36m | S 6 | 451.2 | 461.4 | +10.2 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  32.9m
36m | S 6 | 451.5 | 461.8 | +10.3 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  33.1m
36m | S 6 | 452.0 | 462.2 | +10.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  33.2m
36m | S 6 | 452.4 | 462.6 | +10.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  33.4m
36m | S 6 | 452.6 | 463.1 | +10.5 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  33.6m
37m | S 6 | 453.1 | 463.5 | +10.4 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  33.8m
37m | S 6 | 453.5 | 463.9 | +10.4 |  2.20 |  3.5 |  34.5% |  ON | ramp  | +4.4% |  33.9m
37m | S 6 | 453.9 | 464.4 | +10.5 |  2.20 |  3.5 |  34.5% |  ON | ramp  | +4.4% |  34.1m
37m | S 6 | 454.2 | 464.8 | +10.6 |  2.34 |  3.4 |  34.2% |  ON | ramp  | +4.4% |  34.3m
37m | S 6 | 454.6 | 465.2 | +10.6 |  2.20 |  3.5 |  34.5% |  ON | ramp  | +4.4% |  34.4m
37m | S 6 | 455.0 | 465.6 | +10.6 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  34.6m
38m | S 6 | 455.4 | 466.0 | +10.6 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  34.8m
38m | S 6 | 455.7 | 466.4 | +10.7 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  34.9m
38m | S 6 | 456.2 | 466.8 | +10.6 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  35.1m
38m | S 6 | 456.5 | 467.3 | +10.8 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  35.3m
38m | S 6 | 457.0 | 467.7 | +10.7 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  35.4m
38m | S 6 | 457.3 | 468.2 | +10.9 |  2.29 |  3.4 |  34.3% |  ON | ramp  | +4.4% |  35.6m
39m | S 6 | 457.6 | 468.6 | +11.0 |  2.00 |  3.5 |  34.9% |  ON | ramp  | +4.4% |  35.8m
39m | S 6 | 458.0 | 469.0 | +11.0 |  2.14 |  3.5 |  34.6% |  ON | ramp  | +4.4% |  36.0m
39m | S 6 | 458.5 | 469.4 | +10.9 |  2.14 |  3.5 |  34.6% |  ON | ramp  | +4.4% |  36.1m
39m | S 6 | 458.8 | 469.8 | +11.1 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  36.3m
39m | S 6 | 459.2 | 470.3 | +11.1 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  36.5m
39m | S 6 | 459.5 | 470.7 | +11.2 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  36.6m
40m | S 6 | 459.9 | 471.1 | +11.2 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  36.8m
40m | S 6 | 460.3 | 471.5 | +11.2 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  37.0m
40m | S 6 | 460.7 | 471.9 | +11.2 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  37.1m
40m | S 6 | 461.0 | 472.4 | +11.4 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  37.3m
40m | S 6 | 461.4 | 472.8 | +11.4 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  37.5m
40m | S 6 | 461.8 | 473.2 | +11.4 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  37.6m
41m | S 6 | 462.1 | 473.6 | +11.5 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  37.8m
41m | S 6 | 462.5 | 474.0 | +11.5 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  38.0m
41m | S 6 | 462.6 | 474.4 | +11.8 |  1.80 |  3.5 |  35.3% |  ON | ramp  | +4.4% |  38.1m
41m | S 6 | 463.1 | 474.8 | +11.8 |  1.95 |  3.5 |  35.0% |  ON | ramp  | +4.4% |  38.3m
41m | S 6 | 463.4 | 475.3 | +11.9 |  1.95 |  3.5 |  35.0% |  ON | ramp  | +4.4% |  38.5m
41m | S 6 | 463.6 | 475.7 | +12.1 |  1.65 |  3.6 |  35.6% |  ON | ramp  | +4.4% |  38.6m
42m | S 6 | 463.8 | 476.1 | +12.3 |  1.80 |  3.5 |  35.3% |  ON | ramp  | +4.4% |  38.8m
42m | S 6 | 463.9 | 476.5 | +12.6 |  1.20 |  3.7 |  36.5% |  ON | ramp  | +4.4% |  39.0m
42m | S 6 | 464.2 | 476.9 | +12.7 |  1.20 |  3.7 |  36.5% |  ON | ramp  | +4.4% |  39.1m
42m | S 6 | 464.5 | 477.4 | +12.9 |  1.32 |  3.6 |  36.3% |  ON | ramp  | +4.4% |  39.3m
42m | S 6 | 464.9 | 477.8 | +12.9 |  1.61 |  3.6 |  35.7% |  ON | ramp  | +4.4% |  39.5m
42m | S 6 | 465.3 | 478.2 | +12.9 |  2.05 |  3.5 |  34.8% |  ON | ramp  | +4.4% |  39.6m
43m | S 6 | 465.7 | 478.6 | +12.9 |  2.20 |  3.5 |  34.5% |  ON | ramp  | +4.4% |  39.8m
43m | S 6 | 466.0 | 479.1 | +13.1 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  40.0m
43m | S 6 | 466.4 | 479.5 | +13.1 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  40.2m
43m | S 6 | 466.8 | 479.9 | +13.1 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  40.3m
43m | S 6 | 467.2 | 480.3 | +13.1 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  40.5m
43m | S 6 | 467.7 | 480.7 | +13.0 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  40.6m
44m | S 6 | 468.0 | 481.1 | +13.1 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  40.8m
44m | S 6 | 468.4 | 481.6 | +13.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  41.0m
44m | S 6 | 468.8 | 482.0 | +13.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  41.2m
44m | S 6 | 469.1 | 482.4 | +13.3 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  41.3m
44m | S 6 | 469.6 | 482.8 | +13.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  41.5m
44m | S 6 | 469.9 | 483.2 | +13.3 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  41.6m
45m | S 6 | 470.3 | 483.6 | +13.3 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  41.8m
45m | S 6 | 470.8 | 484.1 | +13.3 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  42.0m
45m | S 6 | 471.2 | 484.5 | +13.3 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  42.2m
45m | S 6 | 471.6 | 484.9 | +13.3 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  42.3m
45m | S 6 | 471.8 | 485.3 | +13.5 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  42.5m
45m | S 6 | 472.3 | 485.7 | +13.4 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  42.6m
46m | S 6 | 472.6 | 486.1 | +13.5 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  42.8m
46m | S 6 | 473.0 | 486.6 | +13.6 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  43.0m
46m | S 6 | 473.4 | 487.1 | +13.7 |  2.29 |  3.4 |  34.3% |  ON | ramp  | +4.4% |  43.2m
46m | S 6 | 473.8 | 487.5 | +13.7 |  2.14 |  3.5 |  34.6% |  ON | ramp  | +4.4% |  43.4m
46m | S 6 | 474.2 | 487.9 | +13.7 |  2.29 |  3.4 |  34.3% |  ON | ramp  | +4.4% |  43.5m
46m | S 6 | 474.6 | 488.3 | +13.7 |  2.29 |  3.4 |  34.3% |  ON | ramp  | +4.4% |  43.7m
47m | S 6 | 475.0 | 488.7 | +13.7 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  43.8m
47m | S 6 | 475.2 | 489.1 | +13.9 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  44.0m
47m | S 6 | 475.7 | 489.6 | +13.9 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  44.2m
47m | S 6 | 476.2 | 490.0 | +13.8 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  44.4m
47m | S 6 | 476.4 | 490.4 | +14.0 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  44.5m
47m | S 6 | 476.7 | 490.8 | +14.1 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  44.7m
48m | S 6 | 477.1 | 491.3 | +14.2 |  2.05 |  3.5 |  34.8% |  ON | ramp  | +4.4% |  44.9m
48m | S 6 | 477.6 | 491.7 | +14.1 |  2.05 |  3.5 |  34.8% |  ON | ramp  | +4.4% |  45.0m
48m | S 6 | 477.8 | 492.1 | +14.3 |  2.05 |  3.5 |  34.8% |  ON | ramp  | +4.4% |  45.2m
48m | S 6 | 478.2 | 492.5 | +14.3 |  2.20 |  3.5 |  34.5% |  ON | ramp  | +4.4% |  45.4m
48m | S 6 | 478.6 | 492.9 | +14.3 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  45.5m
48m | S 6 | 478.9 | 493.4 | +14.5 |  1.95 |  3.5 |  35.0% |  ON | ramp  | +4.4% |  45.7m
49m | S 6 | 479.2 | 493.8 | +14.6 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  45.9m
49m | S 6 | 479.6 | 494.2 | +14.6 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  46.0m
49m | S 6 | 479.8 | 494.6 | +14.8 |  1.80 |  3.5 |  35.3% |  ON | ramp  | +4.4% |  46.2m
49m | S 6 | 480.3 | 495.0 | +14.7 |  2.10 |  3.5 |  34.7% |  ON | ramp  | +4.4% |  46.4m
49m | S 6 | 480.8 | 495.4 | +14.6 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  46.5m
49m | S 6 | 481.1 | 495.8 | +14.8 |  2.25 |  3.4 |  34.4% |  ON | ramp  | +4.4% |  46.7m
50m | S 6 | 481.5 | 496.3 | +14.8 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  46.9m
✅ LOG SAVED: profile_run.txt
🛑 EMERGENCY STOP
>>> 
═
MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
 0m | S 7 | 486.3 | 486.4 | +0.1 |  0.00 |  4.5 |  44.9% |  ON | ramp  | +5.4% |   0.0m
 0m | S 7 | 486.1 | 486.8 | +0.7 | -1.20 |  4.7 |  47.3% |  ON | ramp  | +5.4% |   0.2m
 0m | S 7 | 485.9 | 487.3 | +1.4 | -1.14 |  4.7 |  47.2% |  ON | ramp  | +5.4% |   0.4m
 0m | S 7 | 485.8 | 487.7 | +1.9 | -0.97 |  4.7 |  46.8% |  ON | ramp  | +5.4% |   0.5m
 0m | S 7 | 485.6 | 488.1 | +2.5 | -1.02 |  4.7 |  46.9% |  ON | ramp  | +5.4% |   0.7m
 1m | S 7 | 485.2 | 488.5 | +3.3 | -1.32 |  4.8 |  47.5% |  ON | ramp  | +5.4% |   0.8m
 1m | S 7 | 485.1 | 488.9 | +3.8 | -1.20 |  4.7 |  47.3% |  ON | ramp  | +5.4% |   1.0m
 1m | S 7 | 484.9 | 489.4 | +4.5 | -1.35 |  4.8 |  47.6% |  ON | ramp  | +5.4% |   1.2m
 1m | S 7 | 484.8 | 489.8 | +5.0 | -1.20 |  4.7 |  47.3% |  ON | ramp  | +5.4% |   1.4m
 1m | S 7 | 484.5 | 490.2 | +5.7 | -1.05 |  4.7 |  47.0% |  ON | ramp  | +5.4% |   1.5m
 1m | S 7 | 484.4 | 490.6 | +6.2 | -1.05 |  4.7 |  47.0% |  ON | ramp  | +5.4% |   1.7m
 2m | S 7 | 484.2 | 491.0 | +6.8 | -1.05 |  4.7 |  47.0% |  ON | ramp  | +5.4% |   1.8m
 2m | S 7 | 484.0 | 491.4 | +7.4 | -1.20 |  4.7 |  47.3% |  ON | ramp  | +5.4% |   2.0m
 2m | S 7 | 483.8 | 491.9 | +8.1 | -1.05 |  4.7 |  47.0% |  ON | ramp  | +5.4% |   2.2m
 2m | S 7 | 483.8 | 492.3 | +8.5 | -0.90 |  4.7 |  46.7% |  ON | ramp  | +5.4% |   2.4m
 2m | S 7 | 483.6 | 492.7 | +9.1 | -0.90 |  4.7 |  46.7% |  ON | ramp  | +5.4% |   2.5m
 2m | S 7 | 483.6 | 493.1 | +9.5 | -0.60 |  4.6 |  46.1% |  ON | ramp  | +5.4% |   2.7m
 3m | S 7 | 483.4 | 493.5 | +10.1 | -0.60 |  4.6 |  46.1% |  ON | ramp  | +5.4% |   2.8m
 3m | S 7 | 483.3 | 494.0 | +10.7 | -0.71 |  4.6 |  46.3% |  ON | ramp  | +5.4% |   3.0m
 3m | S 7 | 483.2 | 494.4 | +11.2 | -0.57 |  4.6 |  46.0% |  ON | ramp  | +5.4% |   3.2m
 3m | S 7 | 483.3 | 494.9 | +11.6 | -0.43 |  4.6 |  45.8% |  ON | ramp  | +5.4% |   3.4m
 3m | S 7 | 483.2 | 495.3 | +12.1 | -0.29 |  4.6 |  45.5% |  ON | ramp  | +5.4% |   3.6m
 3m | S 7 | 483.2 | 495.7 | +12.5 | -0.15 |  4.5 |  45.2% |  ON | ramp  | +5.4% |   3.7m
 4m | S 7 | 483.2 | 496.1 | +12.9 |  0.00 |  4.5 |  44.9% |  ON | ramp  | +5.4% |   3.9m
 4m | S 7 | 483.3 | 496.5 | +13.2 |  0.00 |  4.5 |  44.9% |  ON | ramp  | +5.4% |   4.0m
 4m | S 7 | 483.3 | 496.9 | +13.6 |  0.15 |  4.5 |  44.6% |  ON | ramp  | +5.4% |   4.2m
 4m | S 7 | 483.5 | 497.4 | +13.9 |  0.45 |  4.4 |  44.0% |  ON | ramp  | +5.4% |   4.4m
 4m | S 7 | 483.5 | 497.8 | +14.3 |  0.45 |  4.4 |  44.0% |  ON | ramp  | +5.4% |   4.6m
 4m | S 7 | 483.6 | 498.2 | +14.6 |  0.45 |  4.4 |  44.0% |  ON | ramp  | +5.4% |   4.7m
 5m | S 7 | 483.7 | 498.6 | +14.9 |  0.60 |  4.4 |  43.7% |  ON | ramp  | +5.4% |   4.9m
 5m | S 7 | 483.8 | 499.0 | +15.2 |  0.45 |  4.4 |  44.0% |  ON | ramp  | +5.4% |   5.0m
 5m | S 7 | 484.0 | 499.4 | +15.4 |  0.75 |  4.3 |  43.4% |  ON | ramp  | +5.4% |   5.2m
 5m | S 7 | 484.3 | 499.9 | +15.6 |  1.05 |  4.3 |  42.8% |  ON | ramp  | +5.4% |   5.4m
 5m | S 7 | 484.4 | 500.3 | +15.9 |  1.05 |  4.3 |  42.8% |  ON | ramp  | +5.4% |   5.6m
 5m | S 7 | 484.5 | 500.7 | +16.2 |  1.05 |  4.3 |  42.8% |  ON | ramp  | +5.4% |   5.7m
 6m | S 7 | 484.7 | 501.1 | +16.4 |  1.05 |  4.3 |  42.8% |  ON | ramp  | +5.4% |   5.9m
 6m | S 7 | 484.9 | 501.5 | +16.6 |  0.90 |  4.3 |  43.1% |  ON | ramp  | +5.4% |   6.0m
 6m | S 7 | 485.0 | 501.9 | +16.9 |  0.90 |  4.3 |  43.1% |  ON | ramp  | +5.4% |   6.2m
 6m | S 7 | 485.2 | 502.4 | +17.2 |  1.05 |  4.3 |  42.8% |  ON | ramp  | +5.4% |   6.4m
 6m | S 7 | 485.4 | 502.8 | +17.4 |  1.05 |  4.3 |  42.8% |  ON | ramp  | +5.4% |   6.6m
 6m | S 7 | 485.5 | 503.2 | +17.7 |  0.90 |  4.3 |  43.1% |  ON | ramp  | +5.4% |   6.7m
 7m | S 7 | 485.5 | 503.6 | +18.1 |  0.75 |  4.3 |  43.4% |  ON | ramp  | +5.4% |   6.9m
 7m | S 7 | 485.6 | 504.0 | +18.4 |  0.60 |  4.4 |  43.7% |  ON | ramp  | +5.4% |   7.0m
 7m | S 7 | 485.9 | 504.5 | +18.6 |  0.73 |  4.3 |  43.4% |  ON | ramp  | +5.4% |   7.2m
 7m | S 7 | 486.1 | 504.9 | +18.8 |  0.88 |  4.3 |  43.1% |  ON | ramp  | +5.4% |   7.4m
 7m | S 7 | 486.3 | 505.3 | +19.0 |  1.17 |  4.3 |  42.6% |  ON | ramp  | +5.4% |   7.6m
 8m | S 7 | 486.5 | 505.7 | +19.2 |  1.32 |  4.2 |  42.3% |  ON | ramp  | +5.4% |   7.7m
 8m | S 7 | 486.8 | 506.2 | +19.4 |  1.35 |  4.2 |  42.2% |  ON | ramp  | +5.4% |   7.9m
 8m | S 7 | 487.3 | 506.6 | +19.3 |  1.80 |  4.1 |  41.3% |  ON | ramp  | +5.4% |   8.1m
 8m | S 7 | 487.6 | 507.0 | +19.4 |  1.95 |  4.1 |  41.0% |  ON | ramp  | +5.4% |   8.2m
 8m | S 7 | 488.0 | 507.4 | +19.4 |  2.25 |  4.0 |  40.4% |  ON | ramp  | +5.4% |   8.4m
 8m | S 7 | 488.4 | 507.8 | +19.4 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |   8.6m
 9m | S 7 | 488.9 | 508.2 | +19.3 |  2.40 |  4.0 |  40.1% |  ON | ramp  | +5.4% |   8.7m
 9m | S 7 | 489.3 | 508.6 | +19.4 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |   8.9m
 9m | S 7 | 489.8 | 509.1 | +19.3 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |   9.1m
 9m | S 7 | 490.3 | 509.5 | +19.2 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |   9.2m
 9m | S 7 | 490.7 | 509.9 | +19.2 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |   9.4m
 9m | S 7 | 491.1 | 510.3 | +19.2 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |   9.6m
10m | S 7 | 491.6 | 510.7 | +19.1 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |   9.7m
10m | S 7 | 492.1 | 511.2 | +19.0 |  2.70 |  4.0 |  39.5% |  ON | ramp  | +5.4% |   9.9m
10m | S 7 | 492.6 | 511.6 | +19.0 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  10.1m
10m | S 7 | 493.1 | 512.0 | +18.9 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  10.2m
10m | S 7 | 493.7 | 512.4 | +18.7 |  3.15 |  3.9 |  38.6% |  ON | ramp  | +5.4% |  10.4m
10m | S 7 | 494.2 | 512.9 | +18.7 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  10.6m
11m | S 7 | 494.6 | 513.3 | +18.7 |  2.86 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  10.8m
11m | S 7 | 495.1 | 513.7 | +18.6 |  2.86 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  10.9m
11m | S 7 | 495.6 | 514.1 | +18.5 |  2.71 |  4.0 |  39.5% |  ON | ramp  | +5.4% |  11.1m
11m | S 7 | 496.1 | 514.6 | +18.5 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  11.3m
11m | S 7 | 496.6 | 515.0 | +18.4 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  11.4m
11m | S 7 | 497.1 | 515.4 | +18.3 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  11.6m
12m | S 7 | 497.5 | 515.8 | +18.3 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  11.8m
12m | S 7 | 498.1 | 516.2 | +18.1 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  11.9m
12m | S 7 | 498.6 | 516.6 | +18.1 |  3.00 |  3.9 |  38.9% |  ON | ramp  | +5.4% |  12.1m
12m | S 7 | 499.0 | 517.1 | +18.1 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  12.3m
12m | S 7 | 499.4 | 517.5 | +18.1 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  12.4m
12m | S 7 | 499.8 | 517.9 | +18.1 |  2.55 |  4.0 |  39.8% |  ON | ramp  | +5.4% |  12.6m
13m | S 7 | 500.3 | 518.4 | +18.1 |  2.49 |  4.0 |  39.9% |  ON | ramp  | +5.4% |  12.8m
13m | S 7 | 500.8 | 518.8 | +18.0 |  2.63 |  4.0 |  39.6% |  ON | ramp  | +5.4% |  13.0m
13m | S 7 | 501.2 | 519.2 | +18.0 |  2.63 |  4.0 |  39.6% |  ON | ramp  | +5.4% |  13.1m
13m | S 7 | 501.7 | 519.6 | +17.9 |  2.78 |  3.9 |  39.3% |  ON | ramp  | +5.4% |  13.3m
13m | S 7 | 502.2 | 520.0 | +17.8 |  2.85 |  3.9 |  39.2% |  ON | ramp  | +5.4% |  13.4m
